date,ticker,name,wave_stage,score,close,volume,MA20,MA50,RSI,Position52
2025-12-30,488900,비츠로넥스텍,Strong Uptrend,100,18760.0,11792136.0,11717.0,10194.8,81.6599732262383,0.8484320557491289
2025-12-30,200710,에이디테크놀로지,Strong Uptrend,100,33900.0,894832.0,29480.0,26505.0,63.03724928366762,0.8501199040767387
2025-12-30,067290,JW신약,Strong Uptrend,95,2185.0,16026606.0,1791.75,1563.84,67.58328926493918,0.7123719464144996
2025-12-30,250060,모비스,Strong Uptrend,95,3875.0,5770166.0,3029.5,2893.5,73.69565217391305,0.9416445623342176
2025-12-30,031330,에스에이엠티,Strong Uptrend,95,4110.0,12004150.0,3823.75,3741.0,59.45945945945946,0.8496042216358839
2025-12-30,046310,백금T&A,Strong Uptrend,95,3520.0,151227.0,3387.25,3182.7,66.41791044776119,0.9044585987261147
2025-12-30,006730,서부T&D,Strong Uptrend,95,13070.0,2386653.0,12405.5,10989.6,60.624071322436855,0.7458100558659218
2025-12-30,232680,라온테크,Strong Uptrend,95,14520.0,8592016.0,9749.5,8683.8,81.57894736842105,0.825147347740668
2025-12-30,142760,모아라이프플러스,Strong Uptrend,95,1798.0,707454.0,1749.3,1717.4,64.8,0.6386890487609912
2025-12-30,025820,이구산업,Strong Uptrend,95,5620.0,2474086.0,5222.5,5016.0,63.839285714285715,0.7448559670781894
2025-12-30,299170,더블유에스아이,Strong Uptrend,95,2955.0,15227871.0,2465.25,2274.8,73.3108108108108,0.9029889879391715
2025-12-30,096350,대창솔루션,Strong Uptrend,90,2335.0,433946.0,2207.25,2106.36,61.184210526315795,0.7365930599369085
2025-12-30,270660,에브리봇,Strong Uptrend,90,23300.0,2745671.0,20327.5,19961.2,65.45784224841341,0.7390463917525774
2025-12-30,394280,오픈엣지테크놀로지,Early Uptrend,90,14320.0,526377.0,12380.0,12184.6,62.08530805687204,0.5025062656641605
2025-12-30,033240,자화전자,Strong Uptrend,90,25700.0,708304.0,22299.5,21158.8,72.58064516129032,0.8824188129899216
2025-12-30,012630,HDC,Early Uptrend,90,18700.0,290999.0,18001.5,17818.8,56.29139072847683,0.5195086705202312
2025-12-30,467930,IBKS제23호스팩,Strong Uptrend,90,2245.0,10540.0,2217.0,2213.6,68.18181818181819,0.9333333333333333
2025-12-30,254160,제이엠멀티,Strong Uptrend,90,3090.0,895.0,3060.5,2903.9,58.49056603773585,0.9387186629526463
2025-12-30,294870,HDC현대산업개발,Early Uptrend,90,21900.0,363994.0,20731.5,19848.0,65.59633027522935,0.503338898163606
2025-12-30,318060,그래피,Strong Uptrend,90,24350.0,1725108.0,21851.5,16333.8,64.86332574031891,0.817629179331307
2025-12-30,486990,노타,Early Uptrend,90,46150.0,11978242.0,41877.5,39725.0,56.75675675675676,0.5536130536130536
2025-12-30,482630,삼양엔씨켐,Early Uptrend,90,22950.0,350810.0,21324.0,19981.6,57.54422476586889,0.5803183791606368
2025-12-30,264850,이랜시스,Strong Uptrend,90,6985.0,4984794.0,6417.25,5700.9,59.937565036420395,0.7225420216440248
2025-12-30,049430,코메론,Strong Uptrend,90,13920.0,57973.0,13931.5,12403.8,58.08219178082191,0.7573415765069552
2025-12-30,041920,메디아나,Strong Uptrend,90,9170.0,1411513.0,8010.5,6453.4,69.54674220963173,0.8649398704902868
2025-12-30,047040,대우건설,Early Uptrend,90,3840.0,2148455.0,3712.25,3622.5,61.40350877192982,0.48257372654155495
2025-12-30,037270,YG PLUS,Early Uptrend,90,7270.0,3833814.0,6609.5,6527.2,73.05936073059361,0.47455470737913485
